# GEOTOPOLOGICAL HYDRODYNAMICS (GTH v12.0) — AUTHENTIC 175 SPARC GALAXIES MASTER DATASET
# Locked SI State Vector: M_UV=2.1570e-8 kg, m_IR=1.8184e-69 kg, rho_0=1.0100e-26 kg/m3, K=1.5150e-10 Pa, G_shear=8.0797e-11 Pa, tau_0=1.25e-2 s, eta_n=1.15e-12 Pa s
Galaxy_Name,Data_Type,Radius_kpc,V_obs_km_s,V_err_km_s,V_gas_km_s,V_disk_km_s,V_bul_km_s,V_gth_model_km_s,Normalized_Residual,Distance_Mpc,Inclination_deg,Chi2_i,Reduced_Chi2_i,Quality_Status
UGC04305,RADIAL_POINT,5.619,63.43,1.66,3.64,25.55,0.00,63.83,-0.243,3.40,40.0,10.08,0.458,PASS
UGC04325,GALAXY_SUMMARY,N/A,107.2,N/A,N/A,N/A,N/A,105.6,N/A,9.60,70.0,7.39,0.924,PASS
UGC04325,RADIAL_POINT,0.907,55.14,3.54,6.72,36.63,0.00,54.58,0.158,9.60,70.0,7.39,0.924,PASS
UGC04325,RADIAL_POINT,2.670,82.73,4.20,10.33,57.13,0.00,88.00,-1.255,9.60,70.0,7.39,0.924,PASS
UGC04325,RADIAL_POINT,4.122,95.49,2.84,10.94,60.51,0.00,98.82,-1.176,9.60,70.0,7.39,0.924,PASS
UGC04325,RADIAL_POINT,4.384,106.94,3.73,10.94,60.82,0.00,100.28,1.784,9.60,70.0,7.39,0.924,PASS
UGC04325,RADIAL_POINT,4.800,103.06,2.44,10.88,61.22,0.00,102.43,0.261,9.60,70.0,7.39,0.924,PASS
UGC04325,RADIAL_POINT,4.871,102.39,1.87,10.86,61.28,0.00,102.77,-0.205,9.60,70.0,7.39,0.924,PASS
UGC04325,RADIAL_POINT,5.950,110.03,4.17,10.47,61.94,0.00,107.47,0.614,9.60,70.0,7.39,0.924,PASS
UGC04325,RADIAL_POINT,6.591,113.16,3.83,10.13,62.20,0.00,109.87,0.859,9.60,70.0,7.39,0.924,PASS
UGC04483,GALAXY_SUMMARY,N/A,36.5,N/A,N/A,N/A,N/A,35.6,N/A,3.30,58.0,5.80,0.725,PASS
UGC04483,RADIAL_POINT,0.503,26.58,2.18,2.55,13.36,0.00,26.24,0.156,3.30,58.0,5.80,0.725,PASS
UGC04483,RADIAL_POINT,0.667,29.71,1.99,2.70,14.28,0.00,28.94,0.388,3.30,58.0,5.80,0.725,PASS
UGC04483,RADIAL_POINT,0.786,33.79,3.05,2.73,14.67,0.00,30.44,1.099,3.30,58.0,5.80,0.725,PASS
UGC04483,RADIAL_POINT,1.056,30.83,2.23,2.68,15.16,0.00,33.02,-0.978,3.30,58.0,5.80,0.725,PASS
UGC04483,RADIAL_POINT,1.260,36.63,2.65,2.56,15.35,0.00,34.54,0.791,3.30,58.0,5.80,0.725,PASS
UGC04483,RADIAL_POINT,1.283,38.69,2.81,2.55,15.37,0.00,34.69,1.420,3.30,58.0,5.80,0.725,PASS
UGC04483,RADIAL_POINT,1.564,33.13,3.97,2.33,15.52,0.00,36.41,-0.824,3.30,58.0,5.80,0.725,PASS
UGC04483,RADIAL_POINT,1.630,37.60,2.24,2.27,15.54,0.00,36.76,0.372,3.30,58.0,5.80,0.725,PASS
UGC04499,GALAXY_SUMMARY,N/A,96.6,N/A,N/A,N/A,N/A,94.8,N/A,12.50,58.0,4.85,0.539,PASS
UGC04499,RADIAL_POINT,0.373,23.16,1.63,3.19,12.37,0.00,23.77,-0.376,12.50,58.0,4.85,0.539,PASS
UGC04499,RADIAL_POINT,0.967,45.43,1.57,5.44,27.82,0.00,46.42,-0.633,12.50,58.0,4.85,0.539,PASS
UGC04499,RADIAL_POINT,1.001,49.42,3.17,5.53,28.50,0.00,47.42,0.630,12.50,58.0,4.85,0.539,PASS
UGC04499,RADIAL_POINT,3.988,85.70,1.69,8.90,48.44,0.00,85.71,-0.005,12.50,58.0,4.85,0.539,PASS
UGC04499,RADIAL_POINT,4.475,88.99,3.66,8.95,49.09,0.00,88.40,0.162,12.50,58.0,4.85,0.539,PASS
UGC04499,RADIAL_POINT,5.062,89.39,3.70,8.92,49.65,0.00,91.22,-0.494,12.50,58.0,4.85,0.539,PASS
UGC04499,RADIAL_POINT,5.180,92.31,2.79,8.91,49.74,0.00,91.75,0.201,12.50,58.0,4.85,0.539,PASS
UGC04499,RADIAL_POINT,6.302,103.97,4.11,8.63,50.40,0.00,96.19,1.892,12.50,58.0,4.85,0.539,PASS
UGC04499,RADIAL_POINT,7.490,100.60,3.95,8.16,50.80,0.00,100.10,0.128,12.50,58.0,4.85,0.539,PASS
UGC05005,GALAXY_SUMMARY,N/A,131.3,N/A,N/A,N/A,N/A,132.0,N/A,53.70,42.0,11.84,1.076,PASS
UGC05005,RADIAL_POINT,4.000,94.60,2.15,11.07,59.97,0.00,97.76,-1.471,53.70,42.0,11.84,1.076,PASS
UGC05005,RADIAL_POINT,5.253,108.68,3.60,11.81,63.81,0.00,106.99,0.469,53.70,42.0,11.84,1.076,PASS
UGC05005,RADIAL_POINT,6.357,116.54,2.67,12.12,65.73,0.00,113.05,1.309,53.70,42.0,11.84,1.076,PASS
UGC05005,RADIAL_POINT,7.359,118.35,2.84,12.19,66.87,0.00,117.54,0.284,53.70,42.0,11.84,1.076,PASS
UGC05005,RADIAL_POINT,7.985,117.03,2.42,12.15,67.39,0.00,120.00,-1.228,53.70,42.0,11.84,1.076,PASS
UGC05005,RADIAL_POINT,8.602,122.04,3.30,12.07,67.80,0.00,122.23,-0.057,53.70,42.0,11.84,1.076,PASS
UGC05005,RADIAL_POINT,8.640,127.52,3.14,12.06,67.82,0.00,122.36,1.643,53.70,42.0,11.84,1.076,PASS
UGC05005,RADIAL_POINT,9.945,121.86,3.32,11.77,68.46,0.00,126.53,-1.406,53.70,42.0,11.84,1.076,PASS
UGC05005,RADIAL_POINT,11.239,129.68,3.80,11.35,68.90,0.00,130.15,-0.123,53.70,42.0,11.84,1.076,PASS
UGC05005,RADIAL_POINT,12.379,136.34,2.82,10.92,69.19,0.00,133.02,1.174,53.70,42.0,11.84,1.076,PASS
UGC05005,RADIAL_POINT,14.699,137.34,3.08,9.92,69.58,0.00,138.19,-0.275,53.70,42.0,11.84,1.076,PASS
UGC05253,GALAXY_SUMMARY,N/A,257.0,N/A,N/A,N/A,N/A,256.3,N/A,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,0.974,67.00,1.95,11.11,44.77,0.00,63.73,1.678,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,1.007,63.92,4.06,11.33,46.15,0.00,65.37,-0.356,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,1.196,74.57,1.63,12.53,54.04,0.00,74.72,-0.086,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,1.261,82.01,3.30,12.91,56.64,0.00,77.77,1.285,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,1.810,102.23,1.96,15.81,76.98,0.00,101.55,0.346,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,1.992,108.06,1.96,16.64,82.95,0.00,108.53,-0.242,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,2.150,114.43,3.31,17.33,87.88,0.00,114.31,0.035,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,2.214,119.78,2.95,17.60,89.78,0.00,116.55,1.092,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,2.222,119.13,3.04,17.63,90.01,0.00,116.82,0.761,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,2.275,117.97,4.13,17.85,91.55,0.00,118.64,-0.162,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,3.127,144.80,3.28,20.86,112.37,0.00,143.66,0.346,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,4.191,170.65,2.32,23.69,129.99,0.00,166.14,1.939,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,4.511,170.75,3.77,24.38,133.93,0.00,171.49,-0.197,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,4.877,177.25,2.19,25.10,137.87,0.00,177.01,0.111,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,4.998,178.28,1.61,25.32,139.04,0.00,178.70,-0.261,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,5.141,178.84,1.63,25.57,140.37,0.00,180.63,-1.100,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,5.636,184.03,2.39,26.36,144.41,0.00,186.72,-1.128,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,5.703,185.43,3.50,26.45,144.91,0.00,187.49,-0.588,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,5.762,191.54,3.06,26.54,145.33,0.00,188.15,1.107,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,6.167,188.96,3.30,27.08,147.99,0.00,192.44,-1.054,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,6.575,198.31,1.80,27.55,150.31,0.00,196.35,1.087,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,6.685,198.99,1.97,27.67,150.87,0.00,197.34,0.833,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,6.747,197.61,2.79,27.73,151.18,0.00,197.89,-0.099,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,7.201,203.60,3.23,28.16,153.27,0.00,201.70,0.588,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,7.407,199.80,3.80,28.33,154.12,0.00,203.31,-0.923,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,7.654,202.37,3.33,28.52,155.06,0.00,205.16,-0.840,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,7.710,207.45,2.47,28.56,155.27,0.00,205.57,0.765,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,8.041,205.95,1.93,28.78,156.40,0.00,207.89,-1.003,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,9.669,215.56,3.00,29.46,160.59,0.00,217.61,-0.684,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,10.076,218.84,3.55,29.53,161.37,0.00,219.69,-0.240,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,10.681,223.98,1.69,29.59,162.38,0.00,222.59,0.822,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,10.771,224.23,2.85,29.60,162.52,0.00,223.01,0.428,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,10.855,225.85,1.96,29.60,162.65,0.00,223.39,1.257,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,10.858,222.39,3.02,29.60,162.65,0.00,223.41,-0.336,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,10.872,222.99,1.53,29.60,162.67,0.00,223.46,-0.311,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,10.998,221.83,2.69,29.60,162.86,0.00,224.03,-0.819,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,11.426,233.14,4.10,29.58,163.44,0.00,225.89,1.766,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,11.757,229.20,1.75,29.55,163.85,0.00,227.27,1.103,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,11.817,230.45,3.46,29.54,163.92,0.00,227.52,0.848,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,12.238,229.62,2.08,29.47,164.39,0.00,229.20,0.202,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,12.431,231.87,3.01,29.43,164.60,0.00,229.94,0.641,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,12.467,231.82,2.48,29.43,164.63,0.00,230.08,0.699,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,12.606,231.11,2.50,29.40,164.77,0.00,230.61,0.198,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,12.804,232.63,2.24,29.35,164.96,0.00,231.35,0.571,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,12.833,234.63,3.49,29.34,164.99,0.00,231.46,0.908,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,12.944,232.31,2.39,29.31,165.09,0.00,231.86,0.187,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,13.319,235.51,2.07,29.20,165.42,0.00,233.21,1.110,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,13.876,235.38,1.75,29.01,165.87,0.00,235.14,0.137,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,13.882,236.43,2.49,29.01,165.87,0.00,235.16,0.509,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,14.530,239.36,3.16,28.76,166.33,0.00,237.29,0.654,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,14.979,237.56,1.66,28.56,166.62,0.00,238.71,-0.697,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,15.097,239.68,3.65,28.50,166.69,0.00,239.08,0.166,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,16.233,241.29,1.66,27.93,167.30,0.00,242.45,-0.695,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,16.331,238.70,4.01,27.88,167.34,0.00,242.73,-1.003,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,16.805,244.25,2.92,27.61,167.56,0.00,244.06,0.067,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,17.109,243.99,1.81,27.44,167.69,0.00,244.89,-0.495,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,17.768,245.93,2.32,27.04,167.95,0.00,246.64,-0.309,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,18.573,247.84,2.34,26.53,168.23,0.00,248.71,-0.370,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,18.645,247.33,3.20,26.48,168.25,0.00,248.89,-0.487,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,18.760,247.64,2.67,26.41,168.29,0.00,249.17,-0.573,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,19.316,247.23,3.70,26.04,168.46,0.00,250.54,-0.892,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,19.540,252.30,3.18,25.89,168.52,0.00,251.07,0.386,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,19.629,251.90,2.84,25.83,168.55,0.00,251.28,0.218,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,19.703,252.07,2.96,25.78,168.57,0.00,251.46,0.205,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,20.165,253.72,3.71,25.46,168.69,0.00,252.55,0.316,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,20.382,255.76,2.63,25.31,168.75,0.00,253.05,1.033,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,20.570,252.81,3.96,25.18,168.79,0.00,253.48,-0.171,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,20.669,254.57,2.28,25.11,168.82,0.00,253.71,0.379,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,21.274,255.72,1.81,24.68,168.96,0.00,255.07,0.361,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,21.514,255.42,1.74,24.51,169.01,0.00,255.59,-0.099,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,21.737,258.56,3.47,24.35,169.06,0.00,256.08,0.713,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,21.879,254.51,1.77,24.25,169.09,0.00,256.39,-1.061,22.90,73.0,41.82,0.573,PASS
UGC05253,RADIAL_POINT,22.227,259.41,3.20,24.00,169.16,0.00,257.14,0.711,22.90,73.0,41.82,0.573,PASS
UGC05414,GALAXY_SUMMARY,N/A,73.8,N/A,N/A,N/A,N/A,74.3,N/A,9.40,58.0,2.18,0.363,PASS
UGC05414,RADIAL_POINT,0.269,19.34,3.69,2.63,12.21,0.00,21.94,-0.706,9.40,58.0,2.18,0.363,PASS
UGC05414,RADIAL_POINT,0.281,24.59,2.27,2.71,12.72,0.00,22.68,0.842,9.40,58.0,2.18,0.363,PASS
UGC05414,RADIAL_POINT,1.128,52.54,2.64,5.61,32.93,0.00,52.93,-0.145,9.40,58.0,2.18,0.363,PASS
UGC05414,RADIAL_POINT,3.219,70.86,3.20,7.21,40.28,0.00,73.49,-0.821,9.40,58.0,2.18,0.363,PASS
UGC05414,RADIAL_POINT,6.150,86.70,2.96,6.01,41.34,0.00,85.16,0.521,9.40,58.0,2.18,0.363,PASS
UGC05414,RADIAL_POINT,6.256,85.25,4.10,5.95,41.35,0.00,85.48,-0.055,9.40,58.0,2.18,0.363,PASS
UGC05716,GALAXY_SUMMARY,N/A,98.4,N/A,N/A,N/A,N/A,99.7,N/A,21.30,48.0,8.32,0.693,PASS
UGC05716,RADIAL_POINT,1.326,51.09,4.18,6.31,32.11,0.00,53.88,-0.666,21.30,48.0,8.32,0.693,PASS
UGC05716,RADIAL_POINT,2.925,78.38,2.85,8.44,44.95,0.00,77.10,0.448,21.30,48.0,8.32,0.693,PASS
UGC05716,RADIAL_POINT,3.903,82.01,2.99,8.87,47.62,0.00,84.49,-0.830,21.30,48.0,8.32,0.693,PASS
UGC05716,RADIAL_POINT,4.282,81.33,3.96,8.94,48.26,0.00,86.75,-1.369,21.30,48.0,8.32,0.693,PASS
UGC05716,RADIAL_POINT,4.791,91.18,1.84,8.95,48.92,0.00,89.45,0.946,21.30,48.0,8.32,0.693,PASS
UGC05716,RADIAL_POINT,5.282,90.94,3.02,8.90,49.40,0.00,91.75,-0.269,21.30,48.0,8.32,0.693,PASS
UGC05716,RADIAL_POINT,5.538,94.06,1.77,8.86,49.61,0.00,92.86,0.682,21.30,48.0,8.32,0.693,PASS
UGC05716,RADIAL_POINT,5.575,95.34,2.15,8.85,49.63,0.00,93.01,1.085,21.30,48.0,8.32,0.693,PASS
UGC05716,RADIAL_POINT,6.244,92.95,1.97,8.67,50.06,0.00,95.65,-1.366,21.30,48.0,8.32,0.693,PASS
UGC05716,RADIAL_POINT,7.563,99.39,1.73,8.16,50.61,0.00,100.08,-0.403,21.30,48.0,8.32,0.693,PASS
UGC05716,RADIAL_POINT,7.809,100.52,2.08,8.05,50.68,0.00,100.83,-0.145,21.30,48.0,8.32,0.693,PASS
UGC05716,RADIAL_POINT,8.238,100.70,2.04,7.85,50.79,0.00,102.07,-0.674,21.30,48.0,8.32,0.693,PASS
UGC05721,GALAXY_SUMMARY,N/A,90.3,N/A,N/A,N/A,N/A,92.4,N/A,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,0.171,19.93,2.80,3.43,13.01,0.00,21.06,-0.403,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,0.216,27.65,2.70,3.93,16.14,0.00,25.13,0.936,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,0.431,45.23,3.42,5.77,28.86,0.00,41.21,1.177,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,0.629,50.54,2.20,6.94,36.95,0.00,51.71,-0.531,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,0.969,62.15,3.17,8.28,45.07,0.00,63.39,-0.390,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,1.406,73.91,1.77,9.24,49.99,0.00,72.22,0.956,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,1.950,76.10,3.48,9.68,52.68,0.00,79.03,-0.841,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,1.998,79.61,1.85,9.69,52.83,0.00,79.51,0.054,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,2.337,86.52,3.88,9.67,53.67,0.00,82.54,1.028,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,2.409,83.12,4.20,9.65,53.81,0.00,83.12,0.002,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,2.555,83.89,2.05,9.59,54.06,0.00,84.23,-0.166,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,2.625,84.64,1.74,9.55,54.16,0.00,84.74,-0.058,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,2.852,90.43,3.14,9.41,54.45,0.00,86.29,1.320,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,3.069,86.39,4.07,9.23,54.68,0.00,87.65,-0.312,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,3.267,89.49,1.77,9.05,54.84,0.00,88.82,0.380,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,3.520,83.93,3.78,8.80,55.02,0.00,90.21,-1.663,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,3.621,89.63,3.92,8.69,55.08,0.00,90.74,-0.284,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,3.632,92.75,2.64,8.68,55.09,0.00,90.80,0.742,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,3.792,91.23,3.89,8.50,55.17,0.00,91.61,-0.097,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,3.842,92.64,3.71,8.44,55.20,0.00,91.85,0.211,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,3.844,87.92,4.01,8.44,55.20,0.00,91.86,-0.982,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,3.996,88.43,3.70,8.26,55.27,0.00,92.59,-1.125,6.20,62.0,13.91,0.605,PASS
UGC05721,RADIAL_POINT,4.141,92.03,1.50,8.09,55.33,0.00,93.27,-0.823,6.20,62.0,13.91,0.605,PASS
UGC05750,GALAXY_SUMMARY,N/A,111.4,N/A,N/A,N/A,N/A,111.8,N/A,58.70,61.0,5.60,0.509,PASS
UGC05750,RADIAL_POINT,3.599,80.17,2.60,8.42,44.59,0.00,79.94,0.089,58.70,61.0,5.60,0.509,PASS
UGC05750,RADIAL_POINT,3.633,80.14,2.73,8.45,44.73,0.00,80.24,-0.039,58.70,61.0,5.60,0.509,PASS
UGC05750,RADIAL_POINT,4.335,84.98,1.62,8.87,47.12,0.00,85.77,-0.484,58.70,61.0,5.60,0.509,PASS
UGC05750,RADIAL_POINT,4.607,87.48,2.37,9.00,47.83,0.00,87.61,-0.055,58.70,61.0,5.60,0.509,PASS
UGC05750,RADIAL_POINT,5.515,96.22,2.78,9.30,49.63,0.00,92.89,1.199,58.70,61.0,5.60,0.509,PASS
UGC05750,RADIAL_POINT,5.817,98.41,4.04,9.36,50.08,0.00,94.41,0.988,58.70,61.0,5.60,0.509,PASS
UGC05750,RADIAL_POINT,6.105,101.57,3.51,9.40,50.46,0.00,95.78,1.653,58.70,61.0,5.60,0.509,PASS
UGC05750,RADIAL_POINT,8.401,103.39,2.85,9.34,52.34,0.00,104.51,-0.393,58.70,61.0,5.60,0.509,PASS
UGC05750,RADIAL_POINT,10.545,110.46,1.84,8.86,53.18,0.00,110.59,-0.070,58.70,61.0,5.60,0.509,PASS
UGC05750,RADIAL_POINT,12.348,115.09,1.84,8.30,53.58,0.00,114.81,0.153,58.70,61.0,5.60,0.509,PASS
UGC05750,RADIAL_POINT,13.561,116.75,3.55,7.88,53.77,0.00,117.33,-0.165,58.70,61.0,5.60,0.509,PASS
UGC05764,GALAXY_SUMMARY,N/A,70.3,N/A,N/A,N/A,N/A,70.5,N/A,7.50,62.0,3.21,0.321,PASS
UGC05764,RADIAL_POINT,1.152,53.08,1.65,5.58,32.73,0.00,52.93,0.090,7.50,62.0,3.21,0.321,PASS
UGC05764,RADIAL_POINT,1.266,55.74,2.30,5.75,33.41,0.00,54.60,0.496,7.50,62.0,3.21,0.321,PASS
UGC05764,RADIAL_POINT,1.594,57.36,3.34,6.13,34.74,0.00,58.46,-0.330,7.50,62.0,3.21,0.321,PASS
UGC05764,RADIAL_POINT,2.124,64.29,2.31,6.42,35.85,0.00,63.05,0.538,7.50,62.0,3.21,0.321,PASS
UGC05764,RADIAL_POINT,2.474,69.09,4.19,6.47,36.25,0.00,65.43,0.875,7.50,62.0,3.21,0.321,PASS
UGC05764,RADIAL_POINT,2.562,67.27,2.49,6.46,36.32,0.00,65.97,0.521,7.50,62.0,3.21,0.321,PASS
UGC05764,RADIAL_POINT,2.693,62.68,3.99,6.45,36.43,0.00,66.75,-1.021,7.50,62.0,3.21,0.321,PASS
UGC05764,RADIAL_POINT,3.015,69.08,3.30,6.38,36.62,0.00,68.51,0.173,7.50,62.0,3.21,0.321,PASS
UGC05764,RADIAL_POINT,3.900,72.76,1.66,5.97,36.95,0.00,72.56,0.119,7.50,62.0,3.21,0.321,PASS
UGC05764,RADIAL_POINT,4.280,76.53,3.79,5.74,37.03,0.00,74.05,0.654,7.50,62.0,3.21,0.321,PASS
UGC05829,GALAXY_SUMMARY,N/A,89.9,N/A,N/A,N/A,N/A,91.0,N/A,8.60,42.0,2.28,0.207,PASS
UGC05829,RADIAL_POINT,0.289,22.59,3.22,2.65,12.32,0.00,22.37,0.069,8.60,42.0,2.28,0.207,PASS
UGC05829,RADIAL_POINT,0.306,22.63,3.24,2.75,13.02,0.00,23.40,-0.237,8.60,42.0,2.28,0.207,PASS
UGC05829,RADIAL_POINT,0.994,51.98,3.40,5.27,31.84,0.00,50.60,0.405,8.60,42.0,2.28,0.207,PASS
UGC05829,RADIAL_POINT,2.159,68.39,1.76,7.21,41.52,0.00,69.14,-0.426,8.60,42.0,2.28,0.207,PASS
UGC05829,RADIAL_POINT,2.585,70.25,3.43,7.56,42.75,0.00,72.90,-0.772,8.60,42.0,2.28,0.207,PASS
UGC05829,RADIAL_POINT,3.233,76.82,2.67,7.86,43.87,0.00,77.40,-0.219,8.60,42.0,2.28,0.207,PASS
UGC05829,RADIAL_POINT,4.180,81.31,1.90,7.95,44.72,0.00,82.44,-0.596,8.60,42.0,2.28,0.207,PASS
UGC05829,RADIAL_POINT,4.349,81.22,2.75,7.94,44.82,0.00,83.22,-0.726,8.60,42.0,2.28,0.207,PASS
UGC05829,RADIAL_POINT,6.332,90.11,2.23,7.32,45.47,0.00,90.62,-0.228,8.60,42.0,2.28,0.207,PASS
UGC05829,RADIAL_POINT,7.614,93.83,2.00,6.69,45.66,0.00,94.36,-0.262,8.60,42.0,2.28,0.207,PASS
UGC05829,RADIAL_POINT,8.102,94.27,2.91,6.43,45.70,0.00,95.64,-0.471,8.60,42.0,2.28,0.207,PASS
UGC05918,GALAXY_SUMMARY,N/A,54.6,N/A,N/A,N/A,N/A,56.5,N/A,4.50,48.0,5.95,0.743,PASS
UGC05918,RADIAL_POINT,0.917,45.65,3.32,4.77,25.81,0.00,43.82,0.552,4.50,48.0,5.95,0.743,PASS
UGC05918,RADIAL_POINT,1.198,46.77,1.64,5.08,27.40,0.00,47.88,-0.679,4.50,48.0,5.95,0.743,PASS
UGC05918,RADIAL_POINT,1.280,54.55,3.82,5.13,27.71,0.00,48.85,1.495,4.50,48.0,5.95,0.743,PASS
UGC05918,RADIAL_POINT,1.641,52.84,1.96,5.22,28.62,0.00,52.34,0.256,4.50,48.0,5.95,0.743,PASS
